full_name,email,phone,company,job_title,city,state,zip,notes
chris garcia,chris.garcia97@companymail.com ,N/A, Cedar Creek Realty,Director,COLUMBUS, GA ,00000,VIP
matt smith,MATT.SMITH45@GMAIL.COM,(346) 679-7566,  Atlantic Home Group  ,Coordinator,RALEIGH,nc,, contacted  
  Chris Thomas  ,chris.thomas55@example.com,(758)136-7049, Atlantic Home Group,Manager,Austin,oh,, contacted  
Jane Taylor,JANE.TAYLOR3@EXAMPLE.COM,N/A,Summit Roofing ,Sales Rep,  Miami  , GA ,00000, contacted  
  Olivia Brown  ,  olivia.brown43@outlook.com  ,,Greenline Supply,Director,columbus,FL,00000, contacted  
Ashley Davis ,ASHLEY.DAVIS96@OUTLOOK.COM,, Harbor Dental,,  Columbus  , FL ,44970-1234,n/a
emily martinez,emily.martinez11@companymail.com,(640) 716-3956,Bright Path Labs,Director,  Charleston  ,oh,00000, contacted  
James Harris ,james.harris73@outlook.com ,N/A,Iron Oak Logistics,Owner,Baltimore,SC,88861,duplicate possible
Chris Smith ,chris.smith93@companymail.com,N/A,Greenline Supply ,Sales Rep,  Columbus  ,ga,00000,
sarah anderson, sarah.anderson45@gmail.com,N/A,GREENLINE SUPPLY,Coordinator,BALTIMORE,TX,,duplicate possible
sarah davis,  sarah.davis78@outlook.com  ,(551) 308-5325,Cedar Creek Realty,Sales Rep, Philadelphia,nc,, n/a 
KEVIN MOORE, kevin.moore6@companymail.com,,  Atlantic Home Group  ,,Dover,DE,00000,
 JOHN LEWIS,  john.lewis1@gmail.com  ,(846) 160-4750,Cedar Creek Realty ,Manager,dover, GA ,38080-1234, n/a 
James Johnson ,james.johnson68@outlook.com,(270)709-2113, North Ridge LLC,Owner,Atlanta ,TX,85880,duplicate possible
ANDREW ROBINSON,  andrew.robinson96@yahoo.com  ,N/A,Greenline Supply ,Owner,philadelphia, SC ,85582,duplicate
 Emily Johnson,  emily.johnson84@gmail.com  ,(688)179-3174,Summit Roofing ,Sales Rep, Raleigh,DE,11056,n/a
Matt White, matt.white35@outlook.com,N/A, Summit Roofing,Director, Charleston,SC,56961-1234,
JOHN THOMPSON,john.thompson7@gmail.com,,  Atlantic Home Group  ,Director,atlanta,FL,00000,duplicate possible
rachel white,rachel.white93@yahoo.com ,N/A,cedar creek realty,Director,Raleigh , MD ,,n/a
kevin moore,kevin.moore28@companymail.com,,North Ridge LLC,Analyst,Raleigh, FL ,, contacted  
ryan davis, ryan.davis54@outlook.com,(907) 308-7723,  Pine Street Auto  ,Manager,Baltimore ,TX,00000,duplicate possible
 Olivia Martin,OLIVIA.MARTIN84@EXAMPLE.COM,N/A,harbor dental,Director,  Austin  , SC ,74357-1234,Needs follow-up
  Jane Wilson  ,jane.wilson74@yahoo.com ,(442)409-3347, Cedar Creek Realty,Director,raleigh,DE,87550-1234,VIP
 James Lewis, james.lewis66@companymail.com,N/A,HARBOR DENTAL,Manager,Dover ,pa,,
sarah lewis,  sarah.lewis70@yahoo.com  ,(912)590-3986,Harbor Dental,Sales Rep, Philadelphia,MD,48462,n/a
  Daniel Thomas  ,  daniel.thomas85@outlook.com  ,(251)905-6464,PINE STREET AUTO,,Richmond ,TX,82641-1234,duplicate possible
  James Johnson  ,JAMES.JOHNSON35@GMAIL.COM,,  Pine Street Auto  ,Analyst,BALTIMORE,sc,,VIP
  Olivia Brown  ,olivia.brown47@gmail.com ,(717)307-9792,CEDAR CREEK REALTY,Director,Austin ,oh,99167-1234,VIP
  James Thomas  ,james.thomas80@example.com ,(629) 215-7790,Cedar Creek Realty ,,Austin,md,00000,Needs follow-up
Andrew Jackson ,ANDREW.JACKSON29@OUTLOOK.COM,N/A,  Blue Peak Media  ,Coordinator, Raleigh, SC ,38627-1234,VIP
 David Clark,david.clark4@outlook.com ,,Pine Street Auto,Manager,Philadelphia ,MD,65026, contacted  
 Brittany Jackson,brittany.jackson12@yahoo.com,N/A, Summit Roofing,Owner,COLUMBUS, MD ,00000,VIP
nicole thompson,NICOLE.THOMPSON13@COMPANYMAIL.COM,N/A, Iron Oak Logistics,Manager,philadelphia,FL,,new lead
Jane Garcia,  jane.garcia71@yahoo.com  ,(833) 982-6925,  Cedar Creek Realty  ,Manager,richmond,FL,00000,Needs follow-up
rachel smith,  rachel.smith56@gmail.com  ,,Cedar Creek Realty ,Director,  Columbus  ,de,,duplicate possible
Olivia Jackson ,  olivia.jackson28@outlook.com  ,(693) 329-2773,harbor dental,Coordinator,RICHMOND,ga,83526,duplicate possible
 Olivia Martinez,  olivia.martinez14@yahoo.com  ,N/A,Cedar Creek Realty ,Coordinator,Philadelphia ,MD,,
RYAN THOMPSON, ryan.thompson18@example.com,N/A,Iron Oak Logistics ,Owner, Miami,sc,,duplicate possible
Olivia Martinez ,  olivia.martinez56@outlook.com  ,(944) 474-7606,Greenline Supply ,Coordinator,COLUMBUS,md,82512,
ANDREW ROBINSON,  andrew.robinson96@yahoo.com  ,,Greenline Supply ,Owner,philadelphia, SC ,85582,
Rachel White,rachel.white43@gmail.com ,,Iron Oak Logistics,Coordinator,  Baltimore  ,SC,00000, contacted  
Ryan Brown, ryan.brown32@gmail.com,(318) 564-1901,Greenline Supply,Sales Rep,MIAMI, DE ,00000,Needs follow-up
RYAN SMITH,  RYAN.SMITH69@COMPANYMAIL.COM  ,,blue peak media,Coordinator,Austin ,SC,,VIP
James Anderson ,james.anderson82@gmail.com ,(559)844-3419,Harbor Dental,Manager,philadelphia,VA,88957-1234,n/a
David Davis,david.davis31@outlook.com,(657)712-1797,  North Ridge LLC  ,Owner, Miami,ga,80747-1234,n/a
laura anderson, laura.anderson91@gmail.com,(370) 810-5906,blue peak media,Director,miami,va,00000,duplicate
 Rachel Lee,rachel.lee77@example.com,N/A,Bright Path Labs,Coordinator,richmond,VA,64600-1234,VIP
James Anderson ,james.anderson81@yahoo.com,N/A,Summit Roofing ,Sales Rep,austin, PA ,00000,DUPLICATE
nicole taylor,nicole.taylor9@outlook.com,(491) 261-8179,  Cedar Creek Realty  ,,Raleigh ,pa,23577-1234,Needs follow-up
emily martinez,emily.martinez11@companymail.com,(640) 716-3956,Bright Path Labs,Director,  Charleston  ,oh,00000, contacted  
SARAH BROWN,  sarah.brown30@example.com  ,(628)648-8779, Harbor Dental,Director,Columbus,fl,75811-1234,follow up
kevin harris,  kevin.harris33@companymail.com  ,N/A,Iron Oak Logistics ,Director,  Raleigh  ,fl,00000,Needs follow-up
Jane Johnson, jane.johnson21@companymail.com,(905)235-5945,blue peak media,Owner,  Austin  ,md,,VIP
KEVIN JOHNSON,  kevin.johnson37@companymail.com  ,(845)723-4920,pine street auto,Coordinator,Raleigh, OH ,22217-1234,n/a
Megan Martin ,MEGAN.MARTIN92@COMPANYMAIL.COM,(529) 354-7819,Atlantic Home Group ,Director,Philadelphia, MD ,16903-1234, contacted  
